Character   Count
=================

the         :1507x
footman     :   3x
shaped      :   3x
o'clock     :   3x
sorts       :   3x
finding     :   3x
`Let        :   3x
WILL        :   3x
appeared    :   3x
edge        :   3x
her;        :   3x
paper       :   3x
`Give       :   3x
girl        :   3x
jurors      :   3x
checked     :   3x
Gryphon:    :   3x
remark.     :   3x
French      :   3x
high:       :   3x
tossing     :   3x
possibly    :   3x
Which       :   3x
COULD       :   3x
stopped     :   3x
catch       :   3x
all,'       :   3x
animals     :   3x
remained    :   3x
thing,'     :   3x
me!         :   3x
shriek      :   3x
round.      :   3x
Mary        :   3x
over!'      :   3x
Yet         :   3x
pattering   :   3x
hurry.      :   3x
spread      :   3x
`As         :   3x
(The        :   3x
loud        :   3x
instantly   :   3x
eagerly,    :   3x
confusion   :   3x
mouse,      :   3x
garden.     :   3x
side,       :   3x
them,'      :   3x
interesting :   3x
sir,        :   3x
happened    :   3x
real        :   3x
filled      :   3x
shoulder    :   3x
Bill,       :   3x
size:       :   3x
to?'        :   3x
none        :   3x
confused    :   3x
right,      :   3x
she's       :   3x
politely,   :   3x
`Yes,'      :   3x
aloud.      :   3x
silent      :   3x
you!'       :   3x
considering :   3x
shaking     :   3x
does        :   3x
noise       :   3x
key,        :   3x
evidence,'  :   3x
throw       :   3x
book        :   3x
baby,       :   3x
him:        :   3x
fond        :   3x
wherever    :   2x
foot,       :   2x
as,         :   2x
bark        :   2x
ALL         :   2x
eye;        :   2x
Mouse.      :   2x
procession, :   2x
`Oh         :   2x
person      :   2x
plate       :   2x
`Why?'      :   2x
rubbing     :   2x
whose       :   2x
With        :   2x
forgot      :   2x
chimney     :   2x
proved      :   2x
bring       :   2x
dull        :   2x
Lizard      :   2x
`THAT       :   2x
dog         :   2x
atom        :   2x
pieces      :   2x
altogether, :   2x
`Just       :   2x
continued,  :   2x
miserable   :   2x
wind,       :   2x
ring,       :   2x
Bill,'      :   2x
for,        :   2x
relief.     :   2x
trumpet,    :   2x
mustard     :   2x
ordering    :   2x
tones       :   2x
here.'      :   2x
`Two        :   2x
serpents    :   2x
sulkily     :   2x
together    :   2x
go,'        :   2x
one;        :   2x
chin.       :   2x
Cat:        :   2x
violently,  :   2x
BEST        :   2x
shouting    :   2x
nicely      :   2x
constant    :   2x
squeaking   :   2x
age,        :   2x
upset       :   2x
`Ah!        :   2x
on:         :   2x
`Ah,        :   2x
words:      :   2x
lap         :   2x
occurred    :   2x
stretched   :   2x
nobody,     :   2x
falling     :   2x
Soup?       :   2x
